133,99,79,20
132,100,80,20
131,100,80,20
130,100,80,20
137,96,76,20
136,92,75,17
135,92,74,18
134,98,78,20
139,100,80,20
138,95,80,15
24,69,59,10
25,89,76,13
26,89,74,15
27,88,73,15
20,78,68,10
21,84,71,13
22,67,67,0
23,81,73,8
160,98,80,18
28,89,75,14
29,87,74,13
4,98,80,18
8,76,76,0
119,100,80,20
120,100,80,20
121,95,75,20
122,100,80,20
123,100,80,20
124,96,79,17
125,95,75,20
126,100,80,20
127,100,80,20
128,90,80,10
129,100,80,20
118,100,80,20
59,88,78,10
58,79,61,18
55,84,78,6
54,76,62,14
57,82,76,6
56,95,75,20
51,86,76,10
50,86,73,13
53,90,75,15
52,77,67,10
115,100,80,20
114,97,80,17
88,86,69,17
89,88,80,8
111,100,80,20
110,100,80,20
113,100,80,20
112,95,80,15
82,84,80,4
83,91,76,15
80,76,63,13
81,77,75,2
86,90,70,20
87,85,71,14
84,82,69,13
85,90,76,14
3,76,63,13
7,95,77,18
108,100,80,20
109,96,76,20
102,97,80,17
103,100,80,20
100,81,64,17
101,100,80,20
106,100,80,20
107,95,75,20
104,100,80,20
105,98,78,20
39,84,68,16
38,80,61,19
33,90,71,19
32,94,80,14
31,86,72,14
30,88,77,11
37,74,62,12
36,95,79,16
35,79,75,4
34,81,66,15
60,79,77,2
61,80,73,7
62,90,77,13
63,87,71,16
64,84,69,15
65,93,75,18
66,88,77,11
67,69,68,1
68,99,80,19
69,84,77,7
2,76,61,15
6,87,75,12
99,95,80,15
98,97,80,17
91,82,71,11
90,89,69,20
93,77,63,14
92,98,80,18
95,94,75,19
94,86,77,9
97,72,65,7
96,84,68,16
11,85,69,16
10,92,77,15
13,86,74,12
12,81,64,17
15,83,74,9
14,79,70,9
17,88,70,18
16,83,72,11
19,92,75,17
18,86,71,15
117,96,80,16
116,100,80,20
151,91,80,11
150,100,80,20
153,100,80,20
152,95,75,20
155,95,80,15
154,98,78,20
157,100,80,20
156,92,72,20
159,94,75,19
158,100,80,20
48,73,71,2
49,78,69,9
46,86,77,9
47,90,79,11
44,82,68,14
45,89,72,17
42,82,79,3
43,91,77,14
40,76,61,15
41,84,70,14
1,77,66,11
5,85,74,11
9,83,64,19
146,100,80,20
147,100,80,20
144,93,78,15
145,100,80,20
142,100,80,20
143,95,75,20
140,91,80,11
141,100,80,20
148,98,80,18
149,100,80,20
77,94,77,17
76,79,68,11
75,72,66,6
74,95,75,20
73,85,70,15
72,86,71,15
71,90,75,15
70,98,78,20
79,96,76,20
78,73,63,10
